geo_idx,geo_code,geo_desc
1,US,U.S. Total
2,NO,Northeast
3,MW,Midwest
4,SO,South
5,WE,West
6,AK,Alaska
7,AL,Alabama
8,AR,Arkansas
9,AZ,Arizona
10,CA,California
11,CO,Colorado
12,CT,Connecticut
13,DE,Delaware
14,DC,District of Columbia
15,FL,Florida
16,GA,Georgia
17,HI,Hawaii
18,ID,Idaho
19,IL,Illinois
20,IN,Indiana
21,IA,Iowa
22,KS,Kansas
23,KY,Kentucky
24,LA,Louisiana
25,ME,Maine
26,MD,Maryland
27,MA,Massachusetts
28,MI,Michigan
29,MN,Minnesota
30,MS,Mississippi
31,MO,Missouri
32,MT,Montana
33,NE,Nebraska
34,NV,Nevada
35,NH,New Hampshire
36,NJ,New Jersey
37,NM,New Mexico
38,NY,New York
39,NC,North Carolina
40,ND,North Dakota
41,OH,Ohio
42,OK,Oklahoma
43,OR,Oregon
44,PA,Pennsylvania
45,RI,Rhode Island
46,SC,South Carolina
47,SD,South Dakota
48,TN,Tennessee
49,TX,Texas
50,UT,Utah
51,VT,Vermont
52,VA,Virginia
53,WA,Washington
54,WV,West Virginia
55,WI,Wisconsin
56,WY,Wyoming
