per_idx,per_name
1,Q32004
2,Q42004
3,Q12005
4,Q22005
5,Q32005
6,Q42005
7,Q12006
8,Q22006
9,Q32006
10,Q42006
11,Q12007
12,Q22007
13,Q32007
14,Q42007
15,Q12008
16,Q22008
17,Q32008
18,Q42008
19,Q12009
20,Q22009
21,Q32009
22,Q42009
23,Q12010
24,Q22010
25,Q32010
26,Q42010
27,Q12011
28,Q22011
29,Q32011
30,Q42011
31,Q12012
32,Q22012
33,Q32012
34,Q42012
35,Q12013
36,Q22013
37,Q32013
38,Q42013
39,Q12014
40,Q22014
41,Q32014
42,Q42014
43,Q12015
44,Q22015
45,Q32015
46,Q42015
47,Q12016
48,Q22016
49,Q32016
50,Q42016
51,Q12017
52,Q22017
53,Q32017
54,Q42017
55,Q12018
56,Q22018
57,Q32018
58,Q42018
59,Q12019
60,Q22019
61,Q32019
62,Q42019
63,Q12020
64,Q22020
